165558967,016, 174.79,  41.02,-172.22,    0.00,   -0.15,   -0.07,-0.051, 0.015,-0.055,-379.0, -27.0, -69.0
165558977,016, 174.79,  41.02,-172.23,   -0.23,   -0.17,    0.07,-0.051, 0.015,-0.055,-378.0, -26.0, -69.0
165558987,016, 174.79,  41.02,-172.23,   -0.21,   -0.17,   -0.02,-0.049,-0.013,-0.074,-376.0, -27.0, -70.0
165558997,016, 174.79,  41.02,-172.22,   -0.10,    0.17,   -0.16,-0.049,-0.013,-0.074,-376.0, -27.0, -70.0
165559007,016, 174.78,  41.02,-172.23,   -0.19,    0.22,   -0.05,-0.048, 0.016,-0.070,-378.0, -26.0, -69.0
165559017,016, 174.78,  41.02,-172.22,   -0.23,    0.27,    0.02,-0.048, 0.016,-0.070,-378.0, -27.0, -68.0
165559027,016, 174.78,  41.02,-172.22,   -0.02,    0.39,    0.12,-0.055, 0.010,-0.068,-378.0, -27.0, -69.0
165559037,016, 174.78,  41.01,-172.22,    0.05,    0.38,   -0.07,-0.055, 0.010,-0.068,-378.0, -27.0, -69.0
165559047,016, 174.78,  41.01,-172.22,    0.04,    0.13,   -0.09,-0.046,-0.007,-0.089,-379.0, -27.0, -69.0
165559057,016, 174.78,  41.01,-172.22,    0.04,   -0.10,    0.02,-0.046,-0.007,-0.089,-376.0, -28.0, -68.0
165559067,016, 174.78,  41.02,-172.22,    0.07,    0.01,   -0.03,-0.051, 0.006,-0.074,-378.0, -26.0, -69.0
165559077,016, 174.78,  41.02,-172.23,   -0.07,    0.11,   -0.05,-0.051, 0.006,-0.074,-378.0, -26.0, -69.0
165559087,016, 174.78,  41.01,-172.22,   -0.02,    0.04,    0.05,-0.056, 0.004,-0.068,-379.0, -28.0, -70.0
165559097,016, 174.78,  41.01,-172.22,   -0.03,    0.04,   -0.03,-0.056, 0.004,-0.068,-378.0, -27.0, -68.0
165559107,016, 174.78,  41.01,-172.22,    0.14,    0.08,    0.00,-0.057, 0.008,-0.072,-378.0, -27.0, -68.0
165559117,016, 174.79,  41.01,-172.22,    0.14,    0.03,   -0.07,-0.057, 0.007,-0.072,-378.0, -27.0, -68.0
165559127,016, 174.79,  41.01,-172.22,    0.16,    0.08,   -0.07,-0.042, 0.013,-0.067,-378.0, -26.0, -68.0
165559137,016, 174.79,  41.01,-172.22,    0.04,    0.08,   -0.14,-0.042, 0.013,-0.067,-376.0, -28.0, -69.0
165559147,016, 174.79,  41.01,-172.21,   -0.03,    0.04,   -0.26,-0.053, 0.014,-0.066,-379.0, -27.0, -69.0
165559157,016, 174.80,  41.01,-172.21,    0.12,    0.06,   -0.16,-0.053, 0.014,-0.066,-379.0, -27.0, -69.0
165559167,016, 174.80,  41.02,-172.21,   -0.28,   -0.17,    0.00,-0.048, 0.011,-0.067,-379.0, -28.0, -69.0
165559177,016, 174.80,  41.02,-172.20,   -0.10,   -0.18,   -0.14,-0.048, 0.011,-0.067,-376.0, -28.0, -67.0
